
# Surface 0 of 1 surfaces

# Curve title: "'./Scan/propanol/0-1-6-10-11/RIMP2/scanw.txt' u 1:2:($3-w)"
# Contour 0, label:      7.5
-19.0252 -109.286  5 
-18.5118 -107.464  5 
-18.2143 -106.478  5 
-17.9495 -105.643  5 
-17.3364 -103.821  5 
-16.6924 -102  5 
-16.3929 -101.18  5 
-16.0037 -100.179  5 
-15.2842 -98.3571  5 
-14.5714 -96.56  5 
-14.5611 -96.5357  5 
-13.7892 -94.7143  5 
-13.0307 -92.8929  5 
-12.75 -92.2016  5 
-12.2497 -91.0714  5 
-11.4712 -89.25  5 
-10.9286 -87.9198  5 
-10.7061 -87.4286  5 
-9.92846 -85.6071  5 
-9.20744 -83.7857  5 
-9.10714 -83.5076  5 
-8.47235 -81.9643  5 
-7.8043 -80.1429  5 
-7.28571 -78.5156  5 
-7.2126 -78.3214  5 
-6.63441 -76.5  5 
-6.1659 -74.6786  5 
-5.8101 -72.8571  5 
-5.57462 -71.0357  5 
